question,answer
What is a catalyst?,A substance that increases the rate of a chemical reaction without itself undergoing any change.
Where is the explanation of the activation energy in the context of chemical reactions located?,The explanation of the activation energy is located in the text where it is described as the 'threshold' level of energy needed to break the bonds in the reactants.
What is an acid?,"An acid is a substance that releases hydrogen ions (H+) in solution. A hydrogen ion is simply a proton, which is highly likely to participate in chemical reactions."
Where do hydrochloric acid and other strong acids release their H+ ions?,Hydrochloric acid and other strong acids release their H+ ions in the stomach's watery environment.
What is a disaccharide?,"A disaccharide is a pair of monosaccharides formed via dehydration synthesis, and the bond linking them is referred to as a glycosidic bond."
"Where are the three important disaccharides (sucrose, lactose, and maltose) formed?",They are formed in the digestive tract via hydrolysis.
What distinguishes the 20 amino acids from one another?,"Their variable group, which is referred to as a side chain or an R-group."
Where are the bonds between amino acids located?,"Between the amino acids, forming a peptide bond."
What is the primary function of messenger RNA (mRNA) in the cell?,"mRNA carries the genetic instructions from the DNA to the cell's protein manufacturing plants in the cytoplasm, the ribosomes."
Where is the genetic code stored in a cell?,The genetic code is stored in the 46 chromosomes inside the nucleus of each cell (except red blood cells which lose their nuclei during development).
What is the pH range of blood in a healthy adult?,The pH of blood ranges from 7.35 to 7.45.
What are the organic compounds essential to human functioning?,"Organic compounds essential to human functioning include carbohydrates, lipids, proteins, and nucleotides."
What is homeostasis?,Homeostasis is a dynamic state of balance within parameters that are compatible with life.
Where did the concept of a cell originate?,The concept of a cell started with microscopic observations of dead cork tissue by scientist Robert Hooke in 1665.
What is simple diffusion?,A form of passive transport where molecules move across a cell membrane from the side where they are more concentrated to the side where they are less concentrated.
Where do oxygen and carbon dioxide diffuse through the cell membrane?,Through the lipid bilayer of the cell membrane.
What is the process of a cell exporting material using vesicular transport?,Exocytosis is the process of a cell exporting material using vesicular transport.
Where are the contents of a vesicle released during exocytosis?,The contents are released into the interstitial fluid.
What is autolysis?,"Autolysis is a 'self-destruct' mechanism in which lysosomes release their digestive enzymes into the cytoplasm of a cell, killing the cell."
Where are hepatocytes located?,Hepatocytes are located in the liver.
What is the function of the nucleus in a cell?,The nucleus is generally considered the control center of the cell because it stores all of the genetic instructions for manufacturing proteins.
Where are the nuclei located in mature red blood cells?,"Mature red blood cells lack a nucleus, as they eject their nuclei as they mature, making room for the large numbers of hemoglobin molecules that carry oxygen throughout the body."
What is the intermediate messenger that leaves the nucleus and manages protein synthesis?,messenger RNA (mRNA)
Where does protein synthesis take place?,the cytoplasm
What is the G0 phase of the cell cycle?,"The G0 phase is a resting phase of the cell cycle, where cells that have temporarily stopped dividing and are resting, or cells that have permanently ceased dividing, such as nerve cells, are said to be in G0."
What is the function of the centromere in a cell?,The centromere is the structure that attaches one sister chromatid to another.
What is the role of tumor suppressor genes in a cell's 'cruise control system'?,"Tumor suppressor genes act as the 'brake pedal' of the cell's own 'cruise control system,' providing a stop signal to maintain a homeostatic balance under normal conditions."
What can happen to a cell when a tumor suppressor gene is dysfunctional?,"A dysfunctional tumor suppressor gene may fail to provide the cell with a necessary stop signal, resulting in unwanted cell division and proliferation."
What is the endoplasmic reticulum (ER)?,"A cellular organelle that consists of interconnected membrane-bound tubules, which may or may not be associated with ribosomes (rough type or smooth type, respectively)"
Where is the glycocalyx located?,It surrounds the cell membrane
What is the process by which the DNA code is converted into an RNA code?,Transcription is the process by which the DNA code is converted into an RNA code.
Where do tRNA molecules shuttle the appropriate amino acids to during protein synthesis?,tRNA molecules shuttle the appropriate amino acids to the ribosome during protein synthesis.
What is the term used to describe a group of cells found together in the body?,The term tissue is used to describe a group of cells found together in the body.
Where do the cells in a tissue share morphological features and are arranged in an orderly pattern that achieves the tissue's functions?,Under microscopic observation.
What is an anchoring junction?,An anchoring junction includes several types of cell junctions that help stabilize epithelial tissues.
Where do hemidesmosomes link cells to?,"Hemidesmosomes link cells to the extracellular matrix, for example, the basal lamina."
What is the major function of connective tissue?,One of the major functions of connective tissue is to connect tissues and organs.
Where is the extracellular material produced by connective tissue cells embedded?,The extracellular material is embedded within the matrix of the connective tissue.
What is dense irregular elastic tissue?,Dense irregular elastic tissue gives arterial walls the strength and the ability to regain original shape after stretching.
Where is the dermis of the skin located?,"The dermis of the skin is an example of dense irregular connective tissue rich in collagen fibers, located in the skin."
What is the primary function of smooth muscle tissue?,"Smooth muscle tissue contraction is responsible for involuntary movements in the internal organs. It forms the contractile component of the digestive, urinary, and reproductive systems as well as the airways and arteries."
Where are the nuclei located in smooth muscle cells?,Each cell is spindle shaped with a single nucleus and no visible striations.
What is a carcinoma?,Cancers derived from epithelial cells are referred to as carcinomas.
Where are sarcomas derived from?,Sarcomas derive from connective tissue.
What is the primary difference between exocrine and endocrine glands?,"Exocrine glands release their products through ducts, whereas endocrine glands secrete hormones directly into the interstitial fluid and bloodstream."
Where do many different cells that contribute to the formation of connective tissue originate?,They originate in the mesodermal germ layer and differentiate from mesenchyme and hematopoietic tissue in the bone marrow.
What is the integumentary system?,"The skin and its accessory structures, responsible for much more than just lending to your outward appearance."
Where does the skin make up about 16 percent of the body weight and cover an area of 1.5 to 2 m2?,In the adult human body.
What is the function of elastin fibers in the skin?,"Elastin fibers provide some elasticity to the skin, enabling movement."
Where is the hypodermis located in relation to the dermis?,The hypodermis is a layer directly below the dermis.
What is the external root sheath made of?,"The external root sheath is an extension of the epidermis, made of basal cells at the base of the hair root and tends to be more keratinous in the upper regions."
Where is the arrector pili muscle connected to?,Each hair root is connected to a smooth muscle called the arrector pili that contracts in response to nerve signals from the sympathetic nervous system.
What is a Meissner corpuscle?,A type of touch receptor located in a dermal papilla adjacent to the basement membrane and stratum basale of the overlying epidermis.
Where are sweat glands stimulated by the sympathetic nervous system to produce large amounts of sweat?,"When the body becomes excessively warm due to high temperatures, vigorous activity, or a combination of the two."
What is the primary cause of acne?,"Acne is a result of infection by acne-causing bacteria (Propionibacterium and Staphylococcus), which can lead to redness and potential scarring due to the natural wound healing process."
Where do dermatologists typically work?,Most dermatologists work in a medical office or private-practice setting.
What is the function of the dermal papilla in the hair follicle?,"The dermal papilla is a mass of connective tissue, blood capillaries, and nerve endings at the base of the hair follicle."
Where is the medulla in hair located?,The medulla is the innermost layer of keratinocytes originating from the hair matrix.
What is the process that darkens skin when it is exposed to UV light?,The process that darkens skin when it is exposed to UV light is melanization.
Where do cells of the epidermis derive from?,Cells of the epidermis derive from stem cells of the stratum basale.
